"","id","mintars"
"1241",1292,19.2
"1242",1292,19.8
"1243",1293,19.4
"1244",1293,19.5
"1245",1295,19.7
"1246",1297,19
"1247",1297,19
"1248",1298,19
"1249",1298,19.9
"1250",1298,19
"1251",1299,19.3
"1252",1299,19.5
"1253",1299,19.3
"1254",1299,19.5
"1255",1299,NA
"1256",1301,18.9
"1257",1301,19.7
"1258",1304,20.3
"1259",1304,NA
"1260",1304,20.1
"1261",1305,NA
"1262",1305,20.2
"1263",1305,20
"1264",1307,19.3
"1265",1307,19.7
"1266",1307,19.6
"1267",1307,19.8
"1268",1308,19.6
"1269",1308,19.8
"1270",1308,19.5
"1271",1308,19.5
"1272",1308,19.65
"1273",1308,19.5
"1274",1308,NA
"1275",1311,19.3
"1276",1311,18.9
"1277",1311,18.7
"1278",1312,20.5
"1279",1312,NA
"1280",1312,20.65
"1282",1317,20.4
"1283",1317,19.8
"1284",1317,20.1
"1285",1318,NA
"1286",1318,20
"1287",1320,19.4
"1288",1320,19.5
"1289",1321,19.2
"1290",1324,19.2
"1291",1324,19.3
"1292",1324,19.2
"1293",1325,19.3
"1294",1325,19.75
"1295",1325,20
"1296",1325,19.9
"1297",1326,19.8
"1298",1326,20.2
"1299",1326,20.35
"1300",1326,20.9
"1301",1326,21
"1302",1330,19.2
"1303",1330,20
"1304",1330,19.7
"1305",1333,19.8
"1306",1333,NA
"1307",1333,19.6
"1308",1333,20.3
"1309",1333,20.5
"1310",1333,20.7
"1311",1335,19.5
"1312",1335,19.6
"1313",1335,19.5
"1314",1335,19.5
"1315",1335,19.7
"1316",1336,19.5
"1317",1336,19.8
"1318",1336,19.8
"1319",1337,19
"1320",1337,19.8
"1321",1337,18.8
"1322",1337,19
"1323",1337,18.8
"1324",1337,19
"1325",1337,19
"1326",1338,19.3
"1327",1339,19.8
"1328",1339,19.1
"1329",1339,19.7
"1330",1339,19.3
"1331",1339,19.65
"1332",1340,18.9
"1333",1340,19
"1334",1340,NA
"1335",1340,19.95
"1336",1341,18.9
"1337",1341,18.9
"1344",1342,18.6
"1345",1342,19
"1346",1342,19.3
"1347",1344,19.3
"1348",1344,NA
"1349",1344,19.05
"1350",1345,19.4
"1351",1345,20.2
"1352",1345,20
"1353",1346,21
"1354",1346,21.25
"1355",1346,21
"1356",1348,20
"1357",1348,20
"1358",1350,20.75
"1359",1350,21
"1360",1351,18.5
"1361",1351,18.75
"1362",1352,19.75
"1363",1352,19.6
"1364",1352,19.75
"1365",1352,19.2
"1366",1352,NA
"1367",1352,19.85
"1368",1352,19.3
"1369",1352,NA
"1370",1352,NA
"1371",1353,19.75
"1372",1354,20
"1373",1355,19.75
"1374",1355,19.8
"1375",1358,19.9
"1376",1358,19.75
"1377",1359,19.25
"1378",1359,19.25
"1379",1360,20.5
"1380",1360,20.3
"1381",1362,20.25
"1382",1368,19.75
"1383",1368,19.9
"1384",1369,19.75
"1385",1369,20
"1386",1371,20
"1387",1371,20.25
"1388",1373,20.25
"1389",1373,20.5
"1390",1373,20.5
"1391",1373,20.75
"1392",1373,19.9
"1393",1375,20.25
"1394",1375,20
"1395",1375,20.15
"1396",1375,20.4
"1397",1378,18.25
"1404",1380,18.6
"1405",1380,19.4
"1406",1382,19.1
"1407",1382,19.6
"1408",1382,19.2
"1409",1382,20.15
"1410",1382,19.35
"1411",1382,19.3
"1412",1384,19
"1413",1384,19.2
"1414",1384,19.45
"1415",1384,19.2
"1416",1384,NA
"1417",1384,19.45
"1418",1384,19.4
"1419",1384,19.45
"1420",1384,NA
"1421",1385,19.4
"1422",1385,19.5
"1423",1385,19.4
"1424",1385,19.5
"1425",1386,19
"1426",1386,18.9
"1427",1386,19
"1428",1386,19.2
"1429",1386,19
"1430",1387,20
"1431",1387,20.25
"1432",1387,20.15
"1433",1387,20.65
"1434",1389,19.35
"1435",1391,19.4
"1436",1391,19.7
"1437",1391,20
"1438",1392,19.4
"1439",1397,19.2
"1440",1397,19.5
"1441",1397,19.7
"1442",1398,19.2
"1443",1398,18.9
"1444",1399,20.1
"1445",1399,20.4
"1446",1399,20.2
"1447",1399,20.3
"1448",1399,20.25
"1449",1404,19.5
"1450",1404,NA
"1451",1404,19.55
"1452",1404,NA
"1453",1405,19.5
"1454",1405,19.5
"1455",1405,19.2
"1456",1405,19.7
"1457",1405,19.4
"1458",1405,NA
"1459",1405,19.75
"1460",1406,NA
"1461",1407,19
"1462",1407,19.5
"1463",1407,19.2
"1464",1411,19.3
"1465",1413,18.8
"1466",1413,18.9
"1467",1413,19
"1468",1414,20.1
"1469",1414,19.4
"1470",1415,20
"1471",1415,20
"1472",1415,19.8
"1473",1415,19.5
"1474",1415,20
"1475",1415,19.9
"1476",1415,19.95
"1477",1416,19.3
"1478",1416,19.6
"1479",1416,19.7
"1480",1416,NA
"1481",1416,NA
"1482",1416,19.25
"1483",1418,NA
"1484",1418,20.75
"1485",1418,20.7
"1486",1419,NA
"1487",1419,20.65
"1488",1419,20.7
"1489",1420,19.2
"1490",1423,20
"1491",1423,20.3
"1492",1424,19.7
"1493",1425,19.9
"1494",1425,19.6
"1495",1425,20.6
"1496",1428,19.5
"1497",1428,19.55
"1498",1439,18.9
"1499",1439,19.1
"1500",1441,19.9
"1501",1441,19.9
"1502",1445,20.25
"1503",1445,20
"1504",1445,20.5
"1505",1445,20
"1506",1445,NA
"1507",1445,NA
"1508",1445,NA
"1509",1446,18.5
"1510",1447,20
"1511",1447,20
"1512",1447,19.7
"1513",1448,20.25
"1514",1448,20.25
"1515",1451,19.5
"1516",1451,19.1
"1517",1451,19.5
"1518",1451,19.3
"1519",1451,19.2
"1520",1451,18.2
"1521",1452,20.5
"1522",1452,20.25
